Equipo	Denominación	NºIdentif.técn.	Fabricante	Denomin.tipo	Fe.puesta serv.	   Número de serie según el fabricante	  Tamaño/Dimensión
5000228999	02010 Val. Gasoducto Aurín 10" ESV-P402	ESV-P402	CAMERON	E92129-90-00-02		F67037	8" 600# 65 CM
5000229013	02027 Val. Seguridad A D-301 PSV-P354A	PSV-P354A	NACIONAL	3_5211		22693	3" 900# 88 KG/CM2
5000229015	02027 Val. Seguridad B D-301 PSV-P354B	PSV-P354B	WALTHON WEIR PACIFIC	JOS55A			3" 900# 88 KG/CM2
5000229018	02027 Val. Seguridad D-302 PSV-P353	PSV-P353	WALTHON WEIR PACIFIC	JOS55A		C-2359-6-1	3" 900# 88 KG/CM2
5000229021	56005 Hidrante Separadores 3		AQL-PROTECCION	TIFON-TIPO-C			
5000229023	56005 Hidrante Trampas Rascadores 2		AQL-PROTECCION	TIFON-TIPO-C			
5000229127	13052 Motor Eléctrico Soplante M-303	M-303	RAEL	RL80BT2		780143	11 KW
5000229136	41005 Quemador Z-303		ECLIPSE	RM-100			
5000229143	15002 Filtro Entrada TEG Pobre ZF-303	ZF-303	CONSUSA	ZF-303-ZF-306			6 BAR -20/100 ºC
5000229151	14013 Rehervidor de Glicol Z-303	Z-303	DSD	Z-303			
5000229167	11005 Bomba Alternativa TEG A P-303-2A	P-303-2A	THYSSEN	RDP403-5536		86244667A	2,5 M3/H 90 BAR
5000229173	11005 Bomba Alternativa TEG B P-303-2B	P303-2B	THYSSEN	RDP403-5536		86244667B	2,5 M3/H 90 BAR
5000229195	14013 Rehervidor de Glicol Z-306	Z-306	DSD	Z-306			
5000229215	15002 Filtro Entrada TEG Pobre ZF-306	ZF-306	CONSUSA	ZF-303-ZF-306			6 KG/CM2
5000229224	11001 Bomba Centrífuga TEG WILO	WILO	WILO	IPN-40-160-0,55-4-K12BEEXE			
5000229238	11005 Bomba Alternativa TEG A P-353-A	P-353-A	PERONI-POMPE	TITANO-3110			
5000229245	11005 Bomba Alternativa TEG B P-353-B	P-353-B	PERONI-POMPE	TITANO-3110			
